Site,Laboratory ID,CRA,CRAsd,pmarine ,Material ,Source
Anakena 35-8,UGa-630 ,395,75,0,Wood charcoal ,
Anakena cultural layer ,Ua-34189 ,565,35,0,Carbonized nutshell ,
Anakena cultural layer ,Beta-47172 ,170,110,0,Wood charcoal ,
Anakena cultural layer ,T-7977 ,220,80,0,Wood charcoal ,
Anakena cultural layer ,T-7958 ,340,100,0,Wood charcoal ,
Anakena cultural layer ,T-6680 ,370,90,0,Wood charcoal ,
Anakena cultural layer ,T-7959 ,510,40,0,Wood charcoal ,
Anakena cultural layer ,T-7974 ,540,60,0,Wood charcoal ,
Anakena cultural layer ,T-7349 ,550,150,0,Wood charcoal ,
Anakena cultural layer ,T-7344 ,600,140,0,Wood charcoal ,
Anakena cultural layer ,Beta-47171 ,660,80,0,Wood charcoal ,
Anakena cultural layer ,T-7975 ,710,40,0,Wood charcoal ,
Anakena cultural layer ,T-7350 ,710,80,0,Wood charcoal ,
Anakena cultural layer ,T-7343 ,750,100,0,Wood charcoal ,
Anakena cultural layer ,T-7976 ,789,90,0,Wood charcoal ,
Anakena cultural layer ,T-7345 ,810,80,0,Wood charcoal ,
Anakena cultural layer ,T-7346 ,810,70,0,Wood charcoal ,
Anakena cultural layer ,Beta-47173 ,860,100,0,Wood charcoal ,
Anakena cultural layer ,T-7341 ,900,120,0,Wood charcoal ,
Anakena cultural layer ,Beta-47169 ,900,80,0,Wood charcoal ,
Anakena cultural layer ,Beta-47170 ,900,60,0,Wood charcoal ,
Anakena cultural layer ,T-6679 ,1170,140,0,Wood charcoal ,
Anakena Dune Site ,Beta-196714 ,590,60,0,Wood charcoal ,
Anakena Dune Site ,Beta-196711 ,660,40,0,Wood charcoal ,
Anakena Dune Site ,Beta-196713 ,670,60,0,Wood charcoal ,
Anakena Dune Site ,Beta-196712 ,680,60,0,Wood charcoal ,
Anakena Dune Site ,Beta-196715 ,710,40,0,Wood charcoal ,
Anakena Dune Site ,Beta-196716 ,720,60,0,Wood charcoal ,
Anakena Dune Site ,Beta-209903 ,870,80,0,Wood charcoal ,
Anakena Dune Site ,Beta-209904 ,870,40,0,Wood charcoal ,
Anakena E2,K-522 ,430,100,0,Wood charcoal ,
Anakena pre-Ahu Nau Nau I,Ua-34188 ,665,30,0,Wood charcoal,
Anakena pre-Ahu Nau Nau I,Ua-34186 ,555,35,0,Wood charcoal,
Anakena settlement ,Ua-34190 ,665,35,0,Wood charcoal,
Anakena settlement ,Ua-34191 ,565,35,0,Carbonized nutshell ,
CS2,Beta-144308 ,740,40,0,Wood charcoal ,
CS2,Beta-144309 ,250,40,0,Wood charcoal ,
CS4,Beta-144306 ,790,80,0,Wood charcoal ,
CS4,Beta-144307 ,840,40,0,Wood charcoal ,
East Poike ,KIA-18838 ,588,22,0,Wood charcoal ,
East Poike ,KIA-18837 ,631,22,0,Wood charcoal ,
East Poike ,KIA-20383 ,317,20,0,Carbonized nutshell ,
East Poike ,SRR-2430 ,820,40,0,Carbonized nutshell e rat-gnawed ,
Hanga te Pahu ,CNRS 1111b ,465,85,0,Carbonized nutshell ,
Hanga te Pahu ,CNRS 1111a ,640,90,0,Carbonized nutshell ,
Maunga Orito,Beta-178860 ,200,50,0,Wood charcoal ,
Maunga Orito,KIA-17117 ,148,18,0,Wood charcoal ,
Maunga Orito,KIA-17116 ,177,18,0,Wood charcoal ,
Maunga Orito,KIA-25975 ,347,21,0,Wood charcoal ,
Maunga Orito,Beta-196925 ,450,40,0,Wood charcoal ,
Maunga Orito,Beta-196926 ,460,40,0,Wood charcoal ,
Moai Tukuturi ,T-5006 ,180,40,0,Wood charcoal ,
Moai Tukuturi ,T-6258 ,230,60,0,Wood charcoal ,
Moai Tukuturi ,Beta-13130 ,540,90,0,Wood charcoal ,
Moai Tukuturi ,Ua-618 ,1040,90,0,Wood charcoal ,
Orongo ,T-193 ,540,70,0,Wood charcoal ,
Orongo ,Beta-099336 ,320,70,0,Wood charcoal ,
Orongo ,Beta-099342 ,240,60,0,Wood charcoal ,
Orongo ,Beta-099356 ,200,50,0,Wood charcoal ,
Orongo ,Beta-099347 ,210,50,0,Wood charcoal ,
Orongo ,Beta-099339 ,250,50,0,Wood charcoal ,
Orongo ,K-506 ,220,100,0,Wood charcoal ,
Orongo ,K-514 ,380,60,0,Wood charcoal ,
Orongo ,T-194 ,470,70,0,Wood charcoal ,
Orongo ,K-520 ,540,100,0,Wood charcoal ,
Poike Ditch ,Beta-208937 ,440,60,0,Wood charcoal,
Poike Ditch ,Beta-208938 ,190,40,0,Wood charcoal,
Poike Ditch ,Beta-47281 ,760,80,0,Wood charcoal,
"Rock Garden 16, Hiva Hiva Lava Flow",Beta-238061 ,300,40,0,Wood charcoal ,
"Rock Garden 20, Hiva Hiva Lava Flow",Beta-238062 ,570,40,0,Wood charcoal ,
"Rock Garden 22, Hiva Hiva Lava Flow",Beta-237464 ,560,40,0,Wood charcoal ,
"Rock Garden 25, Hiva Hiva Lava Flow",Beta-238063 ,210,40,0,Wood charcoal ,
Site 1-187 ,WSU-1146 ,1180,230,0,Wood charcoal,
Site 10-241,Beta-47365 ,380,60,0,Wood charcoal ,
Site 10-241,Beta-47366 ,480,60,0,Wood charcoal ,
Site 10-241,Beta-47367 ,390,50,0,Wood charcoal ,
Site 14-1 ,UGa-631 ,395,60,0,Wood charcoal ,
Site 15-233,Beta-254389 ,160,40,0,Wood charcoal,
Site 15-233,Beta-254390 ,280,40,0,Wood charcoal,
Site 15-233,Beta-237461 ,150,40,0,Wood charcoal,
Site 15-233,Beta-237462 ,670,40,0,Wood charcoal,
Site 15-68,Beta-237460 ,440,40,0,Wood charcoal ,
Site 15-68,Beta-237459 ,840,40,0,Wood charcoal ,
Site 15-90,Beta-237457 ,460,40,0,Wood charcoal ,
Site 18-228 ,Beta-47282 ,400,60,0,Wood charcoal,
Site 18-419 ,Beta-47283 ,330,60,0,Wood charcoal,
Site 18-473G,Beta-199322 ,220,40,0,Wood charcoal ,
Site 18-473G,Beta-199324 ,1110,40,0,Wood charcoal ,
Site 18-473G,Beta-199323 ,570,50,0,Twig and grass fragments ,
Site 20-52,Beta-144310 ,780,50,0,Wood charcoal ,
Site 20-52,Beta-144311 ,380,40,0,Wood charcoal ,
"Site 21-568a, Hare Aio ",Beta-47279 ,320,70,0,Wood charcoal ,
"Site 21-568a, Hare Aio ",Beta-46110 ,430,70,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-22 ,325,40,0,Carbonized nutshell ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-28 ,555,40,0,Carbonized nutshell ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-14 ,230,60,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-95879 ,230,90,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-8 ,375,45,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-13 ,535,50,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-24 ,535,40,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-106319 ,570,50,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-25 ,650,40,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-23 ,685,50,0,Wood charcoal ,
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-95878 ,700,90,0,Wood charcoal ,
"Site 26-22, Te Niu ",AZ-2 ,605,40,0,Wood charcoal ,
"Site 26-22, Te Niu ",AZ-3 ,385,40,0,Wood charcoal ,
"Site 26-36, Te Niu ",AZ-4 ,210,60,0,Wood charcoal ,
"Site 26-50, Te Niu ",B-95880 ,550,110,0,Wood charcoal ,
"Site 26-6, Te Niu ",AZ-9 ,230,45,0,Wood charcoal ,
"Site 26-6, Te Niu ",AZ-7 ,680,45,0,Wood charcoal ,
"Site 26-7b, Te Niu ",AZ-1 ,435,40,0,Wood charcoal ,
"Site 26-I0, Te Niu ",AZ-5 ,715,70,0,Wood charcoal ,
"Site 26-T0, Te Niu ",AZ-6 ,415,70,0,Wood charcoal ,
"Site 26F, Te Niu ",AZ-27 ,545,40,0,Wood charcoal ,
Site 31-90,Beta-099355 ,150,50,0,Wood charcoal ,
Site 31-90,Beta-099346 ,160,50,0,Wood charcoal ,
Site 31-90,Beta-099345 ,610,80,0,Wood charcoal ,
Site 31-90,Beta-91771 ,420,80,0,Burnt grass ,
Site 31-98,Beta-91772 ,130,40,0,Wood charcoal,
Site 31-98,Beta-91774 ,130,60,0,Wood charcoal ,
Site 31-98,Beta-91775 ,240,40,0,Wood charcoal ,
Site 32-200c ,Gd-6963 ,150,90,0,Organic material ,
Site 35-11 ,Beta-28753 ,280,60,0,Wood charcoal ,
"Site 7-1, Akahanga cave ",I-7517 ,220,80,0,Wood charcoal ,
"Site 7-1, Runga Vae cave ",I-7515 ,190,80,0,Wood charcoal ,
Site 7-553 ,Beta-50136 ,270,60,0,Wood charcoal,
Site 7-553 ,Beta-50138 ,440,60,0,Wood charcoal,
Site 8-85 ,SI-5460 ,580,60,0,Wood charcoal,
"Site B, Inside a hare paenga near ahu ",Beta-210553 ,640,40,0,Wood charcoal ,
"Site C, Hare umu, Ahu Te Pa Haha Tea",Beta-210555 ,210,40,0,Wood charcoal ,
"Site D, Ahu OPepe, inside corner of an L-shaped wall ",Beta-210554 ,200,40,0,Wood charcoal ,
ST 12,Wk-24284 ,214,30,0,Wood charcoal,
ST 14,Wk-27377 ,407,30,0,Wood charcoal,
ST 16,Wk-24285 ,314,30,0,Wood charcoal,
ST 21,Wk-27378 ,172,30,0,Wood charcoal,
ST 22,Wk-24286 ,157,28,0,Wood charcoal,
ST 3,Wk-27375 ,352,30,0,Wood charcoal,
ST 39,Wk-27379 ,133,30,0,Wood charcoal,
ST 43,Wk-27380 ,131,30,0,Wood charcoal,
ST 43,Wk-27381 ,426,30,0,Wood charcoal,
ST 46,Wk-27383 ,212,30,0,Wood charcoal,
ST 46,Wk-27382 ,243,30,0,Wood charcoal,
ST 48,Wk-27384 ,269,30,0,Wood charcoal,
ST 6,Wk-27376 ,146,30,0,Wood charcoal,
Statue No. 478 ,Ua-1145 ,180,110,0,Wood charcoal ,
Statue Quarry ,K-507 ,480,100,0,Wood charcoal ,
Statue Quarry ,Ua-14189 ,550,70,0,Wood charcoal ,
SW Poike ,KIA-19369 ,525,26,0,Burnt grass ,
SW Poike ,KIA-18834 ,319,21,0,Wood charcoal ,
SW Poike ,KIA-18833 ,482,26,0,Wood charcoal ,
SW Poike ,KIA-18832 ,570,22,0,Wood charcoal ,
SW Poike ,KIA-17110 ,654,22,0,Wood charcoal ,
SW Poike ,KIA-18841 ,297,21,0,Wood charcoal ,
SW Poike ,KIA-18842 ,298,48,0,Wood charcoal ,
SW Poike ,KIA-18839 ,561,26,0,Wood charcoal ,
"T 01, Stone-lined basin ",Erl-13249 ,307,39,0,Carbonized nutshell ,
"T 01, Stone-lined basin ",Erl-13248 ,360,39,0,Carbonized nutshell ,
"T 01, Stone-lined basin ",Erl-13247 ,384,40,0,Soil with organic remains ,
"T 01, Stone-lined basin ",Erl-13250 ,349,40,0,Wood charcoal ,
Te Niu ,AZ-26 ,240,40,0,Wood charcoal ,
"Test unit 107, Hiva Hiva Lava Flow",Beta-238582 ,490,40,0,Carbonized nutshell ,
Viri o Tuki ,GrA-25872 ,410,35,0,Wood charcoal ,
