SiteName,Laboratory ID,Age,SD,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes,Reference
Ahu Nau Nau I ,Ua-34183 ,535,35,Carbonized nutshell ,shcal20,Anakena,Ceremonial,2c,_,Mulrooney 2013
Ahu Nau Nau I ,T-7342 ,710,70,Wood charcoal ,shcal20,Anakena,Ceremonial,2a,_,Mulrooney 2013
Ahu Nau Nau II ,T-7347 ,720,120,Wood charcoal ,shcal20,Anakena,Ceremonial,2c,_,Mulrooney 2013
Ahu Nau Nau III ,Ua-617 ,610,85,Wood charcoal ,shcal20,Anakena,Ceremonial,2c,_,Mulrooney 2013
Ahu Nau Nau IV? ,T-7348 ,200,80,Wood charcoal ,shcal20,Anakena,Ceremonial,2c,_,Mulrooney 2013
Ahu No. 31-286 ,Ua-11704 ,795,50,Wood charcoal ,shcal20,Heki'i,Ceremonial,2a,_,Mulrooney 2013
Ahu o Rongo ,GrA-18378 ,655,30,Wood charcoal ,shcal20,Rongo,Ceremonial,2c,_,Mulrooney 2013
Ahu o Rongo I ,GrA-18380 ,655,30,Wood charcoal ,shcal20,Rongo,Ceremonial,2b,_,Mulrooney 2013
Ahu o Rongo I ,GrN-26318 ,715,35,Wood charcoal ,shcal20,Rongo,Ceremonial,2b,_,Mulrooney 2013
Ahu o Tuki ,Beta-155733 ,595,65,Carbonized nutshell ,shcal20,Viri o Tuki,Ceremonial,1c,_,Mulrooney 2013
Ahu o Tuki ,Beta-155732 ,610,60,Carbonized nutshell ,shcal20,Viri o Tuki,Ceremonial,1c,_,Mulrooney 2013
Ahu o Tuki ,GrA-25870 ,640,35,Carbonized nutshell ,shcal20,Viri o Tuki,Ceremonial,1a,_,Mulrooney 2013
Ahu Ra´ai ,Ua-13163 ,135,60,Wood charcoal ,shcal20,Ra'ai,Ceremonial,2b,_,Mulrooney 2013
Ahu Ra´ai ,Ua-13164 ,515,60,Wood charcoal ,shcal20,Ra'ai,Ceremonial,2a,_,Mulrooney 2013
Ahu Ra´ai ,Ua-13165 ,570,50,Wood charcoal ,shcal20,Ra'ai,Ceremonial,2b,_,Mulrooney 2013
Ahu Ra´ai ,Ua-13166 ,635,50,Wood charcoal ,shcal20,Ra'ai,Ceremonial,2a,_,Mulrooney 2013
Ahu Ra´ai ,Ua-13167 ,645,50,Wood charcoal ,shcal20,Ra'ai,Ceremonial,2a,_,Mulrooney 2013
Ahu Tautira,Ua-13161 ,220,50,Wood charcoal ,shcal20,Tautira,Ceremonial,2c,_,Mulrooney 2013
Ahu Tautira,Ua-13284 ,475,60,Wood charcoal ,shcal20,Tautira,Ceremonial,2a,_,Mulrooney 2013
Ahu Tautira,Ua-13162 ,720,50,Wood charcoal ,shcal20,Tautira,Ceremonial,2b,_,Mulrooney 2013
Ahu Vai Teka ,M-1372 ,330,100,Wood charcoal ,shcal20,Vai Teka,Ceremonial,2b,_,Mulrooney 2013
