SiteName,Laboratory ID,Age,SD,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes,Reference
"Site 26-T0, Te Niu ",AZ-6 ,415,70,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
"Site 26F, Te Niu ",AZ-27 ,545,40,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
Site 31-90,Beta-099355 ,150,50,Wood charcoal ,shcal20,Site 31-90,Residential,2b,_,Mulrooney 2013
Site 31-90,Beta-099357,60,50,Wood charcoal ,shcal20,Site 31-90,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 31-90,Beta-099344,80,70,Wood charcoal,shcal20,Site 31-90,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 31-90,Beta-099346 ,160,50,Wood charcoal ,shcal20,Site 31-90,Residential,2b,_,Mulrooney 2013
Site 31-90,Beta-099349,60,50,Wood charcoal ,shcal20,Site 31-90,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 31-90,Beta-099350,10,70,Wood charcoal ,shcal20,Site 31-90,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 31-90,Beta-099345 ,610,80,Wood charcoal ,shcal20,Site 31-90,Residential,2b,_,Mulrooney 2013
Site 31-90,Beta-91771 ,420,80,Burnt grass ,shcal20,Site 31-98,Residential,1b,"Site incorrect in Lima, should be class 1",Mulrooney 2013
Site 31-98,Beta-91772 ,130,40,Wood charcoal? ,shcal20,Site 31-98,Residential,2b,_,Mulrooney 2013
Site 31-98,Beta-91773,70,40,Wood charcoal,shcal20,Site 31-98,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 31-98,Beta-91774 ,130,60,Wood charcoal ,shcal20,Site 31-98,Residential,2b,_,Mulrooney 2013
Site 31-98,Beta-91775 ,240,40,Wood charcoal ,shcal20,Site 31-98,Residential,2b,_,Mulrooney 2013
Site 32-200c ,Gd-6963 ,150,90,Organic material ,shcal20,Site 32,Agricultural,2b,_,Mulrooney 2013
Site 32-200c ,Gd-6965,120,100,Organic material ,shcal20,Site 32,Agricultural,2b,Not in Lima et al.,Mulrooney 2013
Site 32-14,Beta-46103,100,70,Wood charcoal,shcal20,Site 32,Burial,2b,Not in Lima et al.,Mulrooney 2013
"Site F, umu near Ahu Heu",Beta-210552,100,40,Wood charcoal,shcal20,Ahu Heu,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 35-11 ,Beta-28753 ,280,60,Wood charcoal ,shcal20,Site 35-11,Residential,2b,_,Mulrooney 2013
"Site 7-1, Akahanga cave ",I-7517 ,220,80,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
"Site 7-1, Runga Vae cave ",I-7515 ,190,80,Wood charcoal ,shcal20,Runga Vae,Residential,2c,_,Mulrooney 2013
Site 7-553 ,Beta-50136 ,270,60,Wood charcoal Unidentified ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Site 7-553 ,Beta-50138 ,440,60,Wood charcoal Unidentified ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Site 8-85 ,SI-5460 ,580,60,Wood charcoal  identified ,shcal20,Tahai,Residential,1a,_,Mulrooney 2013
"Site B, Inside a hare paenga near ahu ",Beta-210553 ,640,40,Wood charcoal ,shcal20,South Poike,Residential,2c,_,Mulrooney 2013
"Site C, Hare umu, Ahu Te Pa Haha Tea",Beta-210555 ,210,40,Wood charcoal ,shcal20,Ahu Te Pa Haha Tea,Residential,2b,_,Mulrooney 2013
"Site D, Ahu OPepe, inside corner of an L-shaped wall ",Beta-210554 ,200,40,Wood charcoal ,shcal20,Ahu O'Pepe,Residential,2c,_,Mulrooney 2013
ST 12,Wk-24284 ,214,30,Wood charcoal e identified ,shcal20,Lowland plain Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 14,Wk-27377 ,407,30,Wood charcoal e identified ,shcal20,Far interior Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 16,Wk-24285 ,314,30,Wood charcoal e identified ,shcal20,Far interior Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 21,Wk-27378 ,172,30,Wood charcoal e identified ,shcal20,Far interior Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 22,Wk-24286 ,157,28,Wood charcoal identified ,shcal20,Interior uplands Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 22,Wk-24287,90,30,Wood charcoal identified ,shcal20,Interior uplands Hanga Ho'onu,Residential,1c,Not in Lima et al.,Mulrooney 2013
ST 3,Wk-27374,110,30,Wood charcoal identified ,shcal20,Lowland plain Hanga Ho'onu,Residential,1c,Not in Lima et al.,Mulrooney 2013
ST 3,Wk-27375 ,352,30,Wood charcoal e identified ,shcal20,Lowland plain Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 39,Wk-27379 ,133,30,Wood charcoal identified ,shcal20,SH-3-274a,Residential,1c,_,Mulrooney 2013
ST 43,Wk-27380 ,131,30,Wood charcoal e identified ,shcal20,Interior uplands Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 43,Wk-27381 ,426,30,Wood charcoal e identified ,shcal20,Interior uplands Hanga Ho'onu,Residential,1c,_,Mulrooney 2013
ST 46,Wk-27383 ,212,30,Wood charcoal e identified ,shcal20,Heki'i,Residential,1c,_,Mulrooney 2013
ST 46,Wk-27382 ,243,30,Wood charcoal e identified ,shcal20,Heki'i,Residential,1c,_,Mulrooney 2013
ST 48,Wk-27384 ,269,30,Wood charcoal e identified ,shcal20,ST 48,Residential,1c,_,Mulrooney 2013
ST 6,Wk-27376 ,146,30,Wood charcoal e identified ,shcal20,ST 6,Residential,1c,_,Mulrooney 2013
Statue No. 478 ,Ua-1145 ,180,110,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
Statue Quarry ,K-507 ,480,100,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
Statue 280,K-508,110,100,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2b,Not in Lima et al.,Mulrooney 2013
Statue Quarry ,Ua-14189 ,550,70,Wood charcoal ,shcal20,Rano Raraku,Ceremonial,2c,_,Mulrooney 2013
SW Poike ,KIA-19369 ,525,26,Burnt grass ,shcal20,SW Poike,Agricultural,2c,_,Mulrooney 2013
SW Poike ,KIA-18834 ,319,21,Wood charcoal ,shcal20,SW Poike,Agricultural,2c,_,Mulrooney 2013
SW Poike ,KIA-18833 ,482,26,Wood charcoal ,shcal20,SW Poike,Agricultural,2c,_,Mulrooney 2013
SW Poike ,KIA-18832 ,570,22,Wood charcoal ,shcal20,SW Poike,Agricultural,2c,_,Mulrooney 2013
SW Poike ,KIA-17110 ,654,22,Wood charcoal ,shcal20,SW Poike,Agricultural,2c,_,Mulrooney 2013
SW Poike ,KIA-18841 ,297,21,Wood charcoal ,shcal20,SW Poike,Residential,2b,_,Mulrooney 2013
SW Poike ,KIA-18842 ,298,48,Wood charcoal ,shcal20,SW Poike,Agricultural,2b,_,Mulrooney 2013
SW Poike ,KIA-18839 ,561,26,Wood charcoal ,shcal20,SW Poike,Agricultural,2b,_,Mulrooney 2013
"T 01, Stone-lined basin ",Erl-13249 ,307,39,Carbonized nutshell ,shcal20,Ava Ranga Uka o Toreke Hau,Agricultural,1a,mulrooney classifies these as 'water',Mulrooney 2013
"T 01, Stone-lined basin ",Erl-13248 ,360,39,Carbonized nutshell ,shcal20,Ava Ranga Uka o Toreke Hau,Agricultural,1a,mulrooney classifies these as 'water',Mulrooney 2013
"T 01, Stone-lined basin ",Erl-13247 ,384,40,Soil with organic remains ,shcal20,Ava Ranga Uka o Toreke Hau,Agricultural,1c,mulrooney classifies these as 'water',Mulrooney 2013
"T 01, Stone-lined basin ",Erl-13250 ,349,40,Wood charcoal ,shcal20,Ava Ranga Uka o Toreke Hau,Agricultural,2c,mulrooney classifies these as 'water',Mulrooney 2013
Te Niu ,AZ-26 ,240,40,Wood charcoal ,shcal20,Te Niu,Residential,2b,_,Mulrooney 2013
"Test unit 107, Hiva Hiva Lava Flow",Beta-238582 ,490,40,Carbonized nutshell ,shcal20,Hiva Hiva,Residential,1c,_,Mulrooney 2013
Viri o Tuki ,GrA-25872 ,410,35,Wood charcoal ,shcal20,Viri o Tuki,Residential,2b,mulrooney classifies these as 'manufacturing',Mulrooney 2013
Site 15-233,Beta-254391 ,110,40,Wood charcoal e identified ,shcal20,Hiva Hiva,Agricultural,1c,Not in Lima et al.,Mulrooney 2013
Site 6-357,Beta-337739,580,30,Chicken bone (femur),Bone,Site 6-357,Residential,1b,Has marine component. Not in Lima et al.,Stevenson et al. 2019
Site 6-357,Beta-333740,200,30,Chicken bone (femur),Bone,Site 6-357,Residential,1b,Has marine component. Not in Lima et al.,Stevenson et al. 2019
Site 6-357,UGa-37491,170,20,Charcoal (grass stem),shcal20,Site 6-357,Residential,1b,Not in Lima et al.,Stevenson et al. 2019
Site 6-357,UGa-37492,170,20,Charcoal (grass stem),shcal20,Site 6-357,Residential,1b,Not in Lima et al.,Stevenson et al. 2019
Statue No. 156,Beta-447618,350,30,Ipomoea batatas,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410767,390,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410768,280,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410634,380,30,Broussonetia papyrifera paper,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410769,220,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410770,390,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410635,400,30,Broussonetia papyrifera paper,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410771,370,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410636,370,30,Broussonetia papyrifera paper,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410637,360,30,Broussonetia papyrifera paper,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410638,380,30,Broussonetia papyrifera paper,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-412398,360,30,Broussonetia papyrifera,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-412399,240,30,Broussonetia papyrifera,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410772,100,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410773,340,30,indeterminate hardwood,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-410774,90,30,cf. Broussonetia papyrifera,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-412400,260,30,Broussonetia,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-412401,260,30,Broussonetia,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-412402,150,30,Broussonetia,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Statue No. 156,Beta-412403,50,30,Broussonetia,shcal20,Rano Raraku,Ceremonial,1c,Not in Lima et al.,Sherwood et al. 2019
Anakena settlement ,UGa-20801,490,25,Human rib fragment,Bone,Anakena,Burial,1b,Not in Lima et al.,Jarman et al. 2017
Anakena settlement ,UGa-20802,440,25,Human rib fragment,Bone,Anakena,Burial,1b,Not in Lima et al.,Jarman et al. 2017
Anakena settlement ,UGa-20803,110,25,Human rib fragment,Bone,Anakena,Burial,1b,Not in Lima et al.,Jarman et al. 2017
